timestamp,stamp.sec,stamp.nanosec,level,name,msg,file,function,line
1742664699931547529,1742664699,930975601,20,rosbag2_recorder,Subscribed to topic '/odom',./src/rosbag2_transport/recorder.cpp,subscribe_topic,558
1742664699937862042,1742664699,936834352,20,rosbag2_recorder,Subscribed to topic '/mag/quat',./src/rosbag2_transport/recorder.cpp,subscribe_topic,558
1742664699941779451,1742664699,941398097,20,rosbag2_recorder,Subscribed to topic '/imu/data',./src/rosbag2_transport/recorder.cpp,subscribe_topic,558
1742664699944953096,1742664699,944855910,20,rosbag2_recorder,Subscribed to topic '/parameter_events',./src/rosbag2_transport/recorder.cpp,subscribe_topic,558
1742664699947233404,1742664699,947138903,20,rosbag2_recorder,Subscribed to topic '/mag/data',./src/rosbag2_transport/recorder.cpp,subscribe_topic,558
1742664699951892982,1742664699,951452906,20,rosbag2_recorder,Subscribed to topic '/diagnostics',./src/rosbag2_transport/recorder.cpp,subscribe_topic,558
1742664699955438167,1742664699,955334722,20,rosbag2_recorder,Subscribed to topic '/events/write_split',./src/rosbag2_transport/recorder.cpp,subscribe_topic,558
1742664699958164236,1742664699,957870568,20,rosbag2_recorder,Subscribed to topic '/cmd',./src/rosbag2_transport/recorder.cpp,subscribe_topic,558
1742664699959978411,1742664699,959825170,20,rosbag2_recorder,Subscribed to topic '/battery',./src/rosbag2_transport/recorder.cpp,subscribe_topic,558
1742664699960164042,1742664699,960102653,20,rosbag2_recorder,Recording...,./src/rosbag2_transport/recorder.cpp,record,358
1742664700590332991,1742664700,589782988,20,rosbag2_recorder,Subscribed to topic '/pose',./src/rosbag2_transport/recorder.cpp,subscribe_topic,558
1742664700934593684,1742664698,285654622,20,localization,Localization Initialized,/mnt/shared/weedy_ros/install/locomotion/lib/python3.12/site-packages/locomotion/localization.py,__init__,51
1742664700935479800,1742664700,933180807,20,rosbag2_recorder,Subscribed to topic '/cmd_vel',./src/rosbag2_transport/recorder.cpp,subscribe_topic,558
1742664700938756205,1742664700,938436592,20,rosbag2_recorder,Subscribed to topic '/send_uart',./src/rosbag2_transport/recorder.cpp,subscribe_topic,558
1742664700942771799,1742664700,941036568,20,rosbag2_recorder,Subscribed to topic '/ctr_cmd',./src/rosbag2_transport/recorder.cpp,subscribe_topic,558
1742664700945110829,1742664700,945009865,20,rosbag2_recorder,Subscribed to topic '/reset_odom',./src/rosbag2_transport/recorder.cpp,subscribe_topic,558
1742664701657603946,1742664701,656882683,20,rosbag2_recorder,Subscribed to topic '/path',./src/rosbag2_transport/recorder.cpp,subscribe_topic,558
1742664701659650456,1742664701,659449825,20,rosbag2_recorder,Subscribed to topic '/position',./src/rosbag2_transport/recorder.cpp,subscribe_topic,558
1742664701721397226,1742664701,721248781,20,teleop,Remote connected: 8BitDo Ultimate 2C Wireless Controller,/mnt/shared/weedy_ros/install/decisions/lib/python3.12/site-packages/decisions/teleop.py,check_joystick_connection,43
1742664703093177213,1742664703,92951879,20,decisions,Homography inliers: [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],/mnt/shared/weedy_ros/install/decisions/lib/python3.12/site-packages/decisions/decisions.py,__init__,70
1742664703094318571,1742664703,94160904,20,decisions,Decisions Initialized,/mnt/shared/weedy_ros/install/decisions/lib/python3.12/site-packages/decisions/decisions.py,__init__,91
